id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
24452,tt0054033,0.225218,30000,0,The Little Shop of Horrors,Jackie Joseph|Mel Welles|Jack Nicholson|Leola Wendorff|Myrtle Vail,,Roger Corman,The funniest picture of the year!,aggression by plant|killer plant|man eating plant,Black comedy about a young man who creates a carnivorous plant and must kill in order to feed it.,70,Comedy,Santa Clara Productions,9/14/60,23,6.0,1960,221189.023715887,0.0
15788,tt0053644,0.114188,0,10000000,The Bellboy,Jerry Lewis|Alex Gerry|Bob Clayton|Sonnie Sands|Eddie Shaeffer,,Jerry Lewis,It's a Series of Silly Sequences and One of Jerry's All-Time Great Comedy Performances!,hotel|gag humor|madcap comedy|bellhop Â ,"Stanley is a bellboy at the Fountainbleau Hotel in Miami Beach. It is there that he performs his duties quietly and without a word to anyone. All that he displays are facial expressions and a comedic slapstick style. And anything that can go wrong - does go wrong when Stanley is involved. Then one day, Jerry Lewis, big star, arrives at the hotel and some of the staff notice the striking resemblanc",72,Comedy|Family,Paramount Pictures|Jerry Lewis Productions,7/20/60,12,7.0,1960,0.0,73729674.5719623
1673,tt0053729,0.267118,0,0,Comanche Station,Randolph Scott|Nancy Gates|Skip Homeier|Dyke Johnson|Foster Hood,,Budd Boetticher,The One-Man War Against The Comancheros!,indian|comanche,"A man saves a woman who had been kidnapped by Comanches, then struggles to get both of them home alive.",73,Action|Western,Columbia Pictures Corporation|Ranown Pictures Corp.,3/1/60,12,6.5,1960,0.0,0.0
39890,tt0053719,0.065808,0,0,The City of the Dead,Christopher Lee|Dennis Lotis|Patricia Jessel|Tom Naylor|Venetia Stevenson,,John Llewellyn Moxey,300 years old! Human blood keeps them alive forever!,witch|burning of witches|witch burning|witchcraft,"A young coed (Nan Barlow) uses her winter vacation to research a paper on witchcraft in New England. Her professor recommends that she spend her time in a small village called Whitewood. He originally cam from that village so he also recommends she stay at the ""Raven's Inn,"" run by a Mrs. Newlis. She gets to the village and notices some weird happenings, but things begin to happen in earnest when she finds herself ""marked"" for sacrifice by the undead coven of witches. It seems that the innkeeper is actually the undead spirit of Elizabeth Selwyn, and the ""guests"" at the inn are the other witches who have come to celebrate the sacrifice on Candalmas Eve. As one of them said when Nan walked away, ""HE will be PLEASED.""",76,Horror,Vulcan Productions Inc.,9/9/60,13,6.1,1960,0.0,0.0
11773,tt0054443,0.127219,200000,0,Village of the Damned,George Sanders|Barbara Shelley|Martin Stephens|Michael Gwynn|Laurence Naismith,,Wolf Rilla,What Demonic Force Lurks Behind Those Eyes?,suicide|england|based on novel|parents kids relationship|youngster,"In a small English village everyone suddenly falls unconscious. When they awake every woman of child bearing age is pregnant. The resulting children have the same strange blond hair, eyes and a strong connection to each other.",77,Horror|Science Fiction,Metro-Goldwyn-Mayer (MGM),7/1/60,28,7.0,1960,1474593.49143924,0.0
23439,tt0053925,0.32318,270000,0,House of Usher,Vincent Price|Mark Damon|Myrna Fahey|Harry Ellerbe|David Andar,,Roger Corman,Edgar Allan Poe's demonic tale of The Ungodly... The Evil House of Usher,curse|new england|edgar allan poe,"After a long journey, Philip arrives at the Usher mansion seeking his loved one, Madeline. Upon arriving, however, he discovers that Madeline and her brother Roderick Usher have been afflicted with a mysterious malady: Roderick's senses have become painfully acute, while Madeline has become catatonic. That evening, Roderick tells his guest of an old Usher family curse: any time there has been more than one Usher child, all of the siblings have gone insane and died horrible deaths. As the days wear on, the effects of the curse reach their terrifying climax.",79,Horror|Thriller,Alta Vista Productions,6/21/60,28,5.9,1960,1990701.21344298,0.0
23220,tt0053677,0.333643,0,0,The Brides of Dracula,Peter Cushing|Martita Hunt|Yvonne Monlaur|Freda Jackson|David Peel,,Terence Fisher,He Turned Innocent Beauty Into Unspeakable Horror.,dracula|hammer horror|van helsing,"A young teacher on her way to a position in Transylvania helps a young man escape the shackles his mother has put on him. In so doing she innocently unleashes the horrors of the undead once again on the populace, including those at her school for ladies. Luckily for some, Dr Van Helsing is already on his way.",85,Horror,Hammer Film Productions|Hotspur Film Productions Ltd.,1/1/60,19,6.6,1960,0.0,0.0
29756,tt0053559,0.110510999999999,0,0,13 Ghosts,Charles Herbert|Jo Morrow|Martin Milner|Rosemary DeCamp|Margaret Hamilton,,William Castle,IT'S FUN TO BE SCARED BY 13 GHOSTS,haunted house,"Reclusive Dr. Zorba has died and left his mansion to his nephew Cyrus and his family. They will need to search the house to find the doctor's fortune, but along with the property they have also inherited the occultist's collection of 13 ghosts.",85,Horror,Columbia Pictures|William Castle Productions,8/5/60,12,5.5,1960,0.0,0.0
21240,tt0053699,0.136525,0,0,Carry On Constable,Kenneth Connor|Charles Hawtrey|Sid James|Kenneth Williams|Leslie Phillips,,Gerald Thomas,Oh! What a Carry On When that Crazy Bunch Join the Police Force,carry on|police station,"With a flu epidemic running rife, three new bumbling recruits are assigned to Inspector Mills police station. With help from Special Constable Gorse, they manage to totally wreck the operations of the police force and let plenty of criminals get away, even before they arrive at the station. They all have to prove themselves or else they'll be out of a job and Sergeant Wilkins will be transferred. Sub-plots include romances between Wilkins and Moon, Constable and Passworthy.",86,Comedy,Peter Rogers Productions,2/22/60,10,6.0,1960,0.0,0.0
37230,tt0054269,0.271858,0,0,Saturday Night and Sunday Morning,Albert Finney|Shirley Anne Field|Rachel Roberts|Hylda Baker|Norman Rossington,,Karel Reisz,Saturday night you have your fling at life...and Sunday morning you face up to it!,independent film|kitchen sink realism,"Arthur, one of Britain's angry young men of the 1960s, is a hardworking factory worker who slaves all week at his mindless job for his modest wages. Come Saturday night, he's off to the pub for a loud and rowdy beer session. With him is Brenda, his girlfriend of the moment. Married to a fellow worker, she is nonetheless captivated by his rugged good looks and his devil-may-care attitude. Soon a new love interest Doreen enters and a week later, Brenda announces she's pregnant. She tells Arthur she needs money for an abortion, and Arthur promises to pay for it. By this time, his relationship with Doreen has ripened and Brenda, hearing of it, confronts him. He denies everything, but it's obvious that their affair is all but over.",89,Drama,Woodfall Film Productions,8/29/60,12,5.6,1960,0.0,0.0
